City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Umba,Ru,56.82,overcast clouds,66.6871,34.3429,Cedar Grass Beloye More
177,Emerald,Au,51.35,overcast clouds,-23.5333,148.1667,The Irish Village
178,Juneau,Us,69.84,broken clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
180,Jakar,Bt,58.68,overcast clouds,27.5492,90.7525,Wangchuk Lodge Bumthang དབང་ཕྱུག་ཟ་ཁང་ བུམ་ཐང་།
181,Boguchany,Ru,51.98,scattered clouds,58.3814,97.4531,Uyut
182,Ewa beach,Us,77.09,overcast clouds,21.3156,-158.0072,Base Lodging
183,Ixtapa,Mx,85.23,broken clouds,20.7,-105.2,hotel la terminal
186,Dunedin,Nz,44.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
187,Lushnje,Al,84.92,scattered clouds,40.9419,19.705,HOTEL KRESKO
189,Livadiya,Ru,65.7,scattered clouds,42.8692,132.6764,"Tourist base ""Silger"""
191,Barddhaman,In,83.05,broken clouds,23.25,87.85,Sinclairs Burdwan
192,Asyut,Eg,92.64,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
193,Aplahoue,Bj,77.68,broken clouds,6.9333,1.6833,Hotel Immaculee
194,San patricio,Us,95.07,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
195,Road town,Vg,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
196,Luis correia,Br,89.6,scattered clouds,-2.8792,-41.6669,Hotel Amarração
197,Santiago del estero,Ar,63.81,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
198,Igarka,Ru,51.26,broken clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
200,Novoukrayinka,Ua,74.25,scattered clouds,48.3264,31.5285,"Готельно-ресторанний комплекс ""Гостинний двір"""
201,Vardo,No,53.58,broken clouds,70.3705,31.1107,Vardø Hotel AS
202,Ornskoldsvik,Se,68.95,broken clouds,63.2909,18.7153,ファーストホテル スタット
203,Auxerre,Fr,76.62,overcast clouds,47.8,3.5667,Hôtel Les Maréchaux
204,Tuatapere,Nz,39.51,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
205,Acarau,Br,83.8,broken clouds,-2.8856,-40.12,castelo pizzaria
206,Bilibino,Ru,50.45,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
207,Sambava,Mg,70.95,light rain,-14.2667,50.1667,Melrose
209,Zlitan,Ly,78.58,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
211,Kahului,Us,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
212,Landau,De,84.61,few clouds,49.2075,8.1133,Hotel Landau Gästehaus Kleine Kalmit
213,Najran,Sa,95.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
214,Pogar,Ru,68.13,broken clouds,52.554,33.2591,"Gostinitsa ""U Gamleta"""
215,Moerai,Pf,72.34,scattered clouds,-22.4333,-151.3333,Le Manotel
216,Ulaanbaatar,Mn,57.33,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
217,High level,Ca,69.91,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
218,Porto torres,It,84.38,broken clouds,40.835,8.3972,Hotel Elisa
220,Mountain home,Us,78.28,scattered clouds,43.133,-115.6912,Mountain Home Inn
221,Gisborne,Nz,45.99,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
222,Florianopolis,Br,72.55,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
223,San antonio,Us,94.06,light intensity drizzle,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
224,Rosarito,Mx,77.63,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
225,Sukagawa,Jp,73.85,light rain,37.2833,140.3833,Hatagoya Sukagawa
228,Metro,Id,74.48,scattered clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
229,La tuque,Ca,70.05,scattered clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
230,Mianyang,Cn,75.27,few clouds,31.4593,104.7542,如家快捷酒店
231,Oistins,Bb,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
232,Semirom,Ir,74.86,clear sky,31.4167,51.5667,Motel Dena
233,Aloleng,Ph,82.78,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
234,Monrovia,Lr,77.52,light rain,6.3005,-10.7969,Sunset Inn
236,Torbay,Ca,74.28,scattered clouds,47.6666,-52.7314,Gallows Cove
237,Chalon-sur-saone,Fr,74.3,broken clouds,46.7833,4.85,ibis Chalon-sur-Saône Europe
238,Calatayud,Es,79.03,broken clouds,41.3535,-1.6432,Globales Castillo de Ayud
239,Jamestown,Us,77.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
240,Evanton,Gb,58.66,overcast clouds,57.6638,-4.34,Assynt House
241,Nador,Ma,78.87,fog,35.174,-2.9287,Hôtel La Giralda
242,Ust-barguzin,Ru,51.1,overcast clouds,53.45,108.9833,Barguzinskiy Priboy Inn
243,Boromo,Bf,86.54,overcast clouds,11.75,-2.9333,Sama Camp
244,Howard springs,Au,69.71,overcast clouds,-12.497,131.047,buffalo beach hostel
245,Hervey bay,Au,54.16,moderate rain,-25.2986,152.8535,Shelly Bay Resort
246,Krasnyy chikoy,Ru,59.2,moderate rain,50.3643,108.7512,Persona
247,Traverse city,Us,79.0,scattered clouds,44.7631,-85.6206,Bayshore Resort
248,Maceio,Br,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
249,Cidreira,Br,59.9,overcast clouds,-30.1811,-50.2056,Hotel Castelo
250,Potosi,Bo,57.67,few clouds,-19.5836,-65.7531,Hostal La Casona Potosí
251,Orocue,Co,80.96,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
252,Nanortalik,Gl,46.83,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
253,Plastun,Ru,61.54,overcast clouds,44.7561,136.2939,Gostinitsa Rossiyanochka
254,Den helder,Nl,66.97,broken clouds,52.9599,4.7593,Hotel Den Helder
255,Umm lajj,Sa,87.66,few clouds,25.0213,37.2685,Moon light Furnished Units
256,Mar del plata,Ar,60.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
257,Zheleznodorozhnyy,Ru,82.92,scattered clouds,55.7503,38.0042,Hotel Dali
259,Sechura,Pe,74.07,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
260,Leiria,Pt,81.75,scattered clouds,39.7436,-8.8071,ibis Leiria Fatima
262,Hirara,Jp,82.24,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
